,Old,Masculine,Baby-faced,Competent,Attractive,Energetic,Well-groomed,Intelligent,Honest,Generous,Trustworthy,Confident,Rich,Dominant
century,-0.0110,0.0163,-0.0154,0.0415,0.0769,-0.0225,0.0371,0.0352,-0.0208,-0.0345,-0.0211,0.0169,0.0572,0.0014
marble,-0.0985,0.0499,0.0258,0.0134,0.0705,-0.0729,0.0604,0.0631,-0.0467,-0.0889,-0.1286,0.0120,0.0560,0.0511
portrait,-0.0129,0.0432,-0.0653,0.1141,0.0509,0.0708,0.1193,0.0932,-0.0327,-0.0592,0.0140,0.0830,0.0768,0.0587
male,0.1413,0.2746,-0.1886,0.1227,0.0385,0.2279,0.0555,0.0579,-0.0134,0.0870,0.0230,0.2767,0.0676,0.2526
head,0.0869,0.0399,-0.1492,0.1317,0.0043,0.0879,0.1318,0.0646,-0.0516,-0.0930,-0.0276,0.0715,0.0919,0.0038
fourth,-0.0688,-0.0144,0.0327,0.0103,0.0516,0.0553,-0.0142,0.0083,-0.0021,-0.0136,0.0378,0.0293,0.0040,-0.0022
unknown,0.0530,0.0056,-0.0665,0.1484,0.0170,0.0695,0.0236,0.1176,0.0521,0.0130,0.0681,0.0675,0.0661,0.0335
bearded,0.2241,0.2802,-0.2537,0.1843,0.0589,0.2288,0.0654,0.1151,0.0569,0.1348,0.0651,0.2982,0.1456,0.2601
man,0.1006,0.2488,-0.2423,0.2242,0.0740,0.1742,0.1856,0.1411,-0.0384,-0.0611,-0.0351,0.2874,0.1791,0.2172
late,0.0097,-0.0087,0.0004,0.0229,0.0448,-0.0225,0.0538,0.0202,-0.0109,-0.0227,-0.0406,0.0130,0.0334,-0.0003
yes,-0.0168,0.1168,-0.0394,0.0867,-0.0040,0.0953,0.0765,0.1062,0.0204,-0.0218,-0.0125,0.1414,0.0612,0.0840
short,0.0926,0.1129,-0.1251,0.0997,0.0197,0.0859,0.0625,0.0891,0.0308,-0.0103,-0.0004,0.1345,0.0633,0.1008
400,-0.0419,0.0398,-0.0064,-0.0119,0.0730,0.0560,0.0062,-0.0256,-0.0150,0.0532,0.0690,0.0407,0.0098,0.0219
early,-0.0520,-0.0517,0.0353,-0.0234,0.0075,0.0008,-0.0142,-0.0326,-0.0579,-0.0534,-0.0357,-0.0318,-0.0326,-0.0228
300,-0.0098,0.0033,-0.0142,0.0674,0.0152,0.0323,0.0562,0.0337,-0.0122,-0.0801,0.0226,0.0823,0.1172,0.0374
fifth,-0.0166,0.0033,-0.0049,-0.0640,-0.0238,0.0117,0.0091,-0.1016,-0.0239,0.0479,-0.0647,-0.0424,-0.0929,-0.0298
minor,0.0150,0.0511,0.0373,-0.1003,-0.0068,-0.0407,-0.0333,-0.0748,0.0227,0.1174,0.0149,-0.0211,-0.0580,-0.0216
asia,0.0150,0.0511,0.0373,-0.1003,-0.0068,-0.0407,-0.0333,-0.0748,0.0227,0.1174,0.0149,-0.0211,-0.0580,-0.0216
tunic,-0.1079,-0.0977,0.1810,-0.2133,-0.0411,-0.1629,-0.1315,-0.1280,0.0127,0.0513,-0.0235,-0.1660,-0.1258,-0.0763
rome,-0.0740,-0.0385,0.0565,-0.0575,-0.0181,-0.0136,-0.0021,-0.0366,-0.0641,-0.0611,-0.0537,-0.0420,-0.0318,-0.0376
italy,0.0345,0.0308,-0.0808,0.1195,0.0240,0.0035,0.0211,0.1457,-0.0696,-0.0866,-0.0025,0.0533,0.1167,0.0628
statue,-0.0872,-0.0476,0.1708,-0.1745,-0.0636,-0.1271,-0.1671,-0.0824,0.0584,0.1078,0.0132,-0.1414,-0.1248,-0.0633
cloak,-0.0663,-0.0309,0.0998,-0.0834,0.0268,-0.0347,-0.0823,-0.0450,0.0624,0.1269,0.1194,-0.0329,-0.0673,0.0003
south,0.0672,0.0979,-0.0960,0.0566,0.0114,0.1320,0.0894,-0.0585,-0.0045,0.0511,0.0371,0.1142,0.0106,0.0682
clean-shaven,-0.1192,-0.0678,0.0943,-0.0857,-0.0374,-0.0373,-0.0130,-0.0610,-0.0885,-0.0961,-0.0809,-0.0691,-0.0904,-0.0545
uncertain,0.1189,0.0964,-0.1068,0.1277,0.0447,0.1195,0.0676,0.0189,0.0358,0.0581,0.0646,0.1378,0.0725,0.1153
awarder,0.1189,0.0964,-0.1068,0.1277,0.0447,0.1195,0.0676,0.0189,0.0358,0.0581,0.0646,0.1378,0.0725,0.1153
female,-0.1457,-0.2704,0.2075,-0.1448,-0.0292,-0.2373,-0.0743,-0.0896,0.0013,-0.0921,-0.0352,-0.2866,-0.0851,-0.2418
balkans,0.0870,0.0893,-0.0919,0.1004,0.0517,0.1153,0.0547,-0.0027,0.0207,0.0519,0.0357,0.1194,0.0535,0.0851
hair,0.0623,0.0908,-0.1613,0.1511,0.0054,0.0603,0.1133,0.1068,-0.0150,-0.0837,-0.0227,0.1137,0.1263,0.0982
forward,0.0349,0.1075,-0.1069,0.0800,0.0610,0.0828,0.0536,0.0516,-0.0315,-0.0023,-0.0114,0.1348,0.1000,0.1158
stubble,0.0443,0.0934,-0.0839,0.0768,0.0462,0.1063,0.0450,0.0794,0.0373,0.0117,-0.0365,0.1107,0.0563,0.0577
brushed,0.0402,0.1023,-0.1074,0.0840,0.0583,0.0961,0.0585,0.0565,-0.0135,0.0069,0.0115,0.1421,0.0978,0.1095
chiton,-0.0988,-0.0824,0.1639,-0.1790,-0.0212,-0.1416,-0.1017,-0.1240,0.0101,0.0393,0.0045,-0.1208,-0.0921,-0.0465
provenance,0.0279,-0.0116,-0.0512,0.1068,-0.0123,-0.0201,-0.0037,0.1556,0.0209,-0.0225,0.0286,0.0170,0.0982,0.0174
350,-0.0140,0.0245,-0.0009,0.0235,0.0051,-0.0240,0.0133,0.0093,0.0135,-0.0242,-0.0331,0.0030,0.0210,0.0198
beard,0.0578,0.1408,-0.1471,0.1603,0.0467,0.1464,0.1247,0.1199,0.0299,-0.0129,0.0279,0.1883,0.1198,0.1316
north,0.0003,0.0093,-0.0083,-0.0185,-0.0152,0.0145,-0.0149,-0.0398,0.0242,0.0153,0.0132,-0.0040,-0.0493,-0.0196
short-cropped,0.1129,0.0529,-0.0818,0.0907,-0.0136,0.0757,0.0666,0.0656,0.0606,0.0316,-0.0029,0.1108,0.0925,0.0687
separately,-0.0396,0.0538,0.0067,-0.0277,0.0584,0.0441,0.0192,-0.0323,-0.0425,-0.0413,-0.0480,0.0180,-0.0531,0.0266
worked,-0.0396,0.0538,0.0067,-0.0277,0.0584,0.0441,0.0192,-0.0323,-0.0425,-0.0413,-0.0480,0.0180,-0.0531,0.0266
woman,-0.1639,-0.2197,0.1713,-0.1082,0.0189,-0.1767,-0.0387,-0.0672,-0.0220,-0.0985,-0.0519,-0.2206,-0.0587,-0.1844
greece,0.0549,0.0913,-0.0800,0.1061,0.0625,0.1197,0.0820,0.0010,0.0148,0.0477,0.0248,0.1321,0.0610,0.0966
epirus,0.0601,0.0842,-0.0790,0.1044,0.0638,0.1221,0.0779,-0.0001,0.0259,0.0512,0.0298,0.1252,0.0554,0.0852
thrace,0.0601,0.0842,-0.0790,0.1044,0.0638,0.1221,0.0779,-0.0001,0.0259,0.0512,0.0298,0.1252,0.0554,0.0852
macedonia,0.0601,0.0842,-0.0790,0.1044,0.0638,0.1221,0.0779,-0.0001,0.0259,0.0512,0.0298,0.1252,0.0554,0.0852
500,-0.0065,0.1259,-0.0392,-0.0167,-0.0274,0.0945,-0.0607,-0.0675,0.0086,0.1211,-0.0073,0.0782,-0.0479,0.0486
achaea,0.0406,0.1128,-0.0829,0.1120,0.0958,0.1519,0.0953,0.0061,0.0368,0.0563,0.0103,0.1489,0.0574,0.0801
roma,-0.0682,-0.0175,0.0542,-0.0455,0.0149,-0.0308,-0.0047,-0.0235,-0.0186,-0.0660,-0.0690,-0.0354,-0.0395,-0.0226
ostia,-0.0721,-0.0079,0.0469,-0.0373,0.0180,-0.0307,0.0036,-0.0165,-0.0484,-0.0831,-0.0833,-0.0279,-0.0136,-0.0067
including,-0.0721,-0.0079,0.0469,-0.0373,0.0180,-0.0307,0.0036,-0.0165,-0.0484,-0.0831,-0.0833,-0.0279,-0.0136,-0.0067
portus,-0.0721,-0.0079,0.0469,-0.0373,0.0180,-0.0307,0.0036,-0.0165,-0.0484,-0.0831,-0.0833,-0.0279,-0.0136,-0.0067
mantle,-0.0960,-0.0145,0.0789,-0.0555,0.0295,-0.0304,-0.0409,-0.0215,-0.0040,0.0709,0.1178,-0.0068,-0.0070,0.0226
bust,-0.0095,-0.0404,0.0452,-0.0308,-0.0425,-0.1486,-0.0651,-0.0026,-0.0228,-0.0220,-0.0498,-0.0624,0.0268,0.0545
himation,-0.0967,0.0075,0.0531,-0.0280,0.0346,0.0072,-0.0237,-0.0097,-0.0185,0.0523,0.1111,0.0247,0.0108,0.0464
long,0.0768,0.1527,-0.0912,0.0797,0.0003,0.1631,-0.0165,0.0310,0.0199,0.1551,0.1032,0.1667,0.0461,0.1848
280,0.0424,0.0635,-0.0500,0.0917,0.0600,0.0773,0.0808,0.0804,0.0103,0.0090,0.0437,0.1116,0.0724,0.0290
braid,-0.1182,-0.2032,0.0993,-0.0485,0.0237,-0.1679,-0.0228,0.0121,-0.0092,-0.1280,-0.0332,-0.1805,-0.0085,-0.1596
footwear,-0.0761,-0.0361,0.1199,-0.1321,-0.0511,-0.0802,-0.1293,-0.0299,0.0629,0.0801,0.0159,-0.1080,-0.0989,-0.0592
standing,-0.0631,0.0340,0.0972,-0.1139,-0.0200,-0.0610,-0.0940,-0.0703,-0.0182,0.0138,-0.0504,-0.0468,-0.1072,0.0191
earlier,0.1038,0.1208,-0.1091,0.1183,0.0664,0.0552,0.0993,0.0241,0.0554,0.0281,0.0114,0.1135,0.0862,0.1334
emperor,-0.0339,-0.0968,0.0628,-0.0540,0.0025,-0.0386,-0.0203,-0.0361,0.0202,0.0012,0.0328,-0.0763,-0.0719,-0.0713
caria,0.0122,0.0332,0.0057,-0.0739,-0.0054,-0.0115,-0.0684,-0.0281,0.0906,0.1753,0.0590,-0.0532,-0.0802,-0.0554
later,0.0678,0.1098,-0.0631,0.0598,0.0141,0.0342,0.0234,0.0362,0.0625,0.0222,0.0211,0.0762,-0.0056,0.0549
toga,-0.0277,-0.0098,0.0770,-0.1047,-0.0558,-0.1244,-0.0875,-0.0674,-0.0154,-0.0014,-0.1214,-0.1000,-0.0517,0.0013
wearing,0.0338,-0.0386,-0.0152,-0.0273,0.0151,-0.0456,0.0108,0.0277,0.0323,0.0399,0.0132,-0.0751,0.0036,-0.0200
sleeved,-0.0219,-0.0650,0.0723,-0.0996,-0.0236,-0.1077,-0.0884,-0.0153,0.0298,0.0317,-0.0543,-0.1330,-0.0785,-0.0777
aphrodisias,0.0048,0.0168,0.0320,-0.0770,-0.0055,-0.0005,-0.0845,-0.0283,0.1093,0.1852,0.0657,-0.0578,-0.1006,-0.0737
320,-0.0006,0.0452,-0.0485,0.0124,0.0061,-0.0338,-0.0032,0.0111,-0.0962,-0.0409,-0.0501,0.0113,0.0191,0.0462
450,-0.0413,0.0145,0.0189,-0.0307,0.0587,-0.0199,0.0193,-0.0310,-0.0092,0.0304,-0.0570,-0.0177,-0.0273,0.0157
boots,-0.0876,-0.0293,0.1428,-0.1404,-0.0418,-0.0670,-0.1366,-0.0417,0.0604,0.0794,-0.0373,-0.1109,-0.1380,-0.0674
chlamys,0.0061,-0.0065,0.0315,-0.0821,-0.0347,-0.0559,-0.0596,-0.0682,0.0332,0.0433,-0.0161,-0.0445,-0.0578,-0.0115
near,0.0615,-0.0440,-0.0209,-0.0540,-0.0566,-0.0888,-0.0358,-0.0420,0.0520,0.0245,0.1049,-0.0887,-0.0450,-0.0469
closed,-0.0786,-0.0112,0.1240,-0.1222,-0.0323,-0.0556,-0.1248,-0.0290,0.0632,0.0751,-0.0209,-0.0930,-0.1235,-0.0557
collection,-0.0387,-0.0768,0.0462,-0.0172,-0.0504,-0.0805,-0.0673,0.0252,-0.0129,-0.0340,-0.0034,-0.0841,0.0098,-0.0202
re-cut,0.0017,0.0024,0.0279,-0.0252,-0.0758,-0.0018,0.0159,-0.0161,-0.0191,-0.0040,-0.0583,0.0032,-0.0186,0.0099
325,0.0301,-0.0805,-0.0264,0.0140,0.0032,-0.0069,0.0437,0.0428,-0.0167,-0.0779,0.0304,-0.0530,0.0331,-0.0512
ephesus,0.0511,0.0718,-0.0016,-0.0681,-0.0385,-0.0373,-0.0726,-0.0747,-0.0179,0.0462,-0.0631,-0.0033,-0.0289,0.0515
diadem,0.0029,-0.1306,0.0103,-0.0201,-0.0250,-0.0540,0.0135,-0.0123,0.0087,-0.0439,0.0246,-0.0981,-0.0287,-0.1296
scroll,-0.1046,0.0456,0.0466,-0.0676,-0.0142,-0.0136,-0.0373,-0.0067,-0.0634,-0.0150,0.0054,0.0134,-0.0567,0.0243
purchased,-0.0860,-0.0316,0.0614,-0.0240,-0.0669,0.0369,-0.0555,0.0018,0.0290,0.0701,0.0001,-0.0219,-0.0542,-0.0782
provinces,0.0624,0.0293,-0.0418,0.0179,-0.0063,0.0171,-0.0228,-0.0047,-0.0032,0.0136,0.0177,0.0196,0.0099,0.0202
danube,0.0624,0.0293,-0.0418,0.0179,-0.0063,0.0171,-0.0228,-0.0047,-0.0032,0.0136,0.0177,0.0196,0.0099,0.0202
central,-0.0611,-0.0923,0.0196,0.0033,0.0250,-0.1019,0.0444,0.0157,-0.0636,-0.1410,-0.0695,-0.0723,0.0544,-0.0771
africa,-0.0129,0.0241,-0.0232,-0.0031,0.0117,0.0339,0.0374,-0.0322,-0.0157,-0.0565,-0.0278,0.0354,-0.0071,0.0327
380,-0.0309,0.0538,0.0004,-0.0503,0.0028,-0.0033,0.0029,-0.0965,-0.0480,0.0108,-0.0919,-0.0139,-0.0732,0.0387
agora,-0.0108,0.1194,-0.0280,-0.0259,-0.0131,0.0395,-0.0268,-0.0548,-0.0011,0.0671,0.0331,0.0389,-0.0788,0.0414
athens,0.0495,0.1095,-0.1016,0.1069,0.1002,0.1167,0.1214,-0.0035,-0.0442,-0.0070,-0.0037,0.1449,0.0581,0.1066
sixth,-0.0139,-0.1415,0.1391,-0.1322,-0.1442,-0.0763,-0.1083,-0.1019,-0.0247,0.0495,-0.0596,-0.1883,-0.1029,-0.1507
encircling,-0.0682,-0.1605,0.0708,-0.0308,0.0110,-0.0933,-0.0562,0.0312,0.0578,-0.0319,0.0492,-0.1339,-0.0142,-0.1119
corinth,-0.0416,0.0038,0.0360,-0.0018,0.0323,0.1141,0.0165,-0.0537,0.0781,0.0769,0.0176,0.0504,0.0020,-0.0160
togate,-0.0389,0.0235,0.0463,-0.0288,0.0167,-0.0250,-0.0109,-0.0112,0.0571,0.0144,0.0335,0.0050,-0.0067,0.0245
sicily,0.0475,0.0005,-0.0598,0.0159,-0.0344,0.0752,0.0854,-0.0256,-0.0471,-0.0244,0.0302,0.0403,0.0138,-0.0192
life-size,-0.0423,0.0239,0.0406,-0.0481,0.0025,-0.0099,-0.0464,-0.0192,0.0094,0.0133,-0.0588,-0.0057,-0.0483,-0.0341
headless,-0.0016,-0.0558,0.0661,-0.0502,-0.0168,-0.0377,-0.0454,-0.0244,0.0664,0.0562,0.0458,-0.0417,-0.0281,-0.0127
baths,0.0131,-0.0194,0.0175,-0.1056,-0.0448,0.0122,-0.0588,-0.0907,-0.0131,0.0388,-0.0249,-0.0376,-0.0762,-0.0551
270,0.0966,0.1557,-0.1215,0.1115,0.0415,-0.0156,0.0128,0.0828,-0.0015,0.0215,0.0091,0.1144,0.1471,0.1721
armour,0.0223,-0.0655,0.0546,-0.0542,-0.0123,-0.0095,-0.0818,0.0125,0.0822,0.0928,0.0549,-0.0597,-0.0735,-0.0598
bundle,-0.1109,0.0542,0.0562,-0.0659,0.0058,-0.0234,-0.0286,-0.0172,-0.0686,-0.0172,-0.0301,0.0102,-0.0566,0.0293
headgear,0.0190,-0.0842,0.0515,-0.0934,-0.0627,-0.1046,-0.0782,-0.0667,0.0108,0.0442,0.0713,-0.1345,-0.0473,-0.0837
fragment,-0.0509,-0.0123,0.0534,-0.0207,0.0600,-0.0156,-0.0043,-0.0052,-0.0166,-0.0192,-0.0441,-0.0116,-0.0340,-0.0293
wreath,0.0428,0.0813,-0.0594,-0.0096,0.0164,0.0680,-0.0345,-0.0227,-0.0098,0.0395,0.0521,0.0519,-0.0046,0.0622
probably,-0.0671,-0.0208,0.0708,-0.0616,-0.0064,0.0467,-0.0402,-0.1197,-0.0289,0.0420,-0.0421,-0.0256,-0.0626,-0.0134
type,-0.0087,0.0384,-0.0662,0.1130,0.0181,0.0605,0.0299,0.1369,-0.0342,-0.0598,-0.0224,0.0817,0.1035,0.0343
stone,0.0799,-0.0213,-0.0450,0.0114,-0.0185,0.0445,-0.0226,0.0066,0.0032,0.0390,0.0979,0.0005,-0.0104,-0.0358
local,0.0924,-0.0146,-0.0628,0.0157,-0.0219,0.0551,-0.0146,0.0071,-0.0142,0.0292,0.0905,0.0090,-0.0030,-0.0249
mid,-0.0085,0.0185,-0.0111,0.0143,0.0190,0.0219,0.0280,-0.0248,-0.0112,-0.0328,-0.0267,0.0223,-0.0127,0.0037
tetrarch,0.1308,0.0002,-0.0468,0.0122,-0.0507,0.0507,0.0079,0.0110,0.0432,0.0775,0.0506,0.0362,0.0073,0.0083
porphyry,0.1137,-0.0490,-0.0258,-0.0625,-0.1463,-0.0022,-0.0932,-0.0906,0.0709,0.1103,0.0625,-0.0597,-0.0670,-0.0392
275,0.0154,-0.0372,0.0254,-0.0226,-0.0063,-0.0233,0.0362,-0.0016,0.0059,-0.0409,0.0006,-0.0382,-0.0369,-0.0323
forum,-0.1072,-0.0086,0.0527,-0.0626,-0.0093,0.0425,-0.0091,-0.0738,-0.0398,-0.0504,-0.1414,0.0037,-0.0377,-0.0269
insertion,-0.0549,-0.1179,0.0390,-0.0296,0.0101,-0.0231,0.0149,0.0161,-0.0373,-0.0712,-0.0171,-0.0806,-0.0194,-0.0800
strapped,-0.0139,-0.0230,0.0449,-0.0987,-0.0538,-0.1048,-0.0719,-0.0218,0.0065,0.0056,-0.0294,-0.1317,-0.0728,-0.0537
hairstyle,0.0583,0.0632,-0.0968,0.0715,-0.0462,-0.0022,0.0564,0.0688,-0.0496,-0.0420,0.0284,0.0462,0.0931,0.0397
crown,-0.0231,0.0055,0.0100,0.0299,0.0564,0.0527,0.0118,0.0271,0.0290,0.0209,0.0026,0.0487,0.0095,0.0176
et,-0.0800,-0.0221,0.0289,-0.0171,0.0050,0.0089,0.0175,0.0063,-0.0308,-0.0285,0.0010,-0.0136,-0.0390,-0.0734
paludamentum,0.0211,-0.0314,0.0286,0.0210,0.0465,0.0463,-0.0148,0.0210,0.0847,0.0889,0.0680,0.0017,-0.0485,-0.0069
young,-0.0974,-0.0928,0.1219,-0.0691,-0.0429,-0.0665,-0.0554,-0.0381,0.0570,0.0071,0.0240,-0.0924,-0.1043,-0.1019
antique,0.1030,0.0159,-0.0608,-0.0149,-0.0699,-0.0883,-0.0185,0.0143,-0.0281,-0.0073,-0.0619,-0.0752,0.0154,0.0316
wreath-style,-0.0280,0.0395,-0.0086,-0.0754,-0.0611,0.0136,-0.0365,-0.0985,-0.0770,0.0198,-0.0235,-0.0157,-0.0648,0.0040
constantine,-0.0194,0.0173,0.0201,-0.0070,0.0246,0.0069,-0.0146,0.0284,-0.0104,0.0019,0.0062,0.0178,-0.0015,0.0241
ii,-0.0030,-0.0173,0.0232,-0.0414,-0.0009,0.0151,0.0073,-0.0639,-0.0225,0.0056,-0.0109,-0.0116,-0.0564,-0.0104
plain,-0.0705,-0.0132,0.1025,-0.0658,-0.0061,0.0115,-0.0979,-0.0148,0.0771,0.0754,0.0027,-0.0145,-0.0748,-0.0257
tondo,-0.0021,-0.0010,0.0014,0.0221,0.0771,0.1431,-0.0074,-0.0168,0.0842,0.1108,0.1744,0.0825,0.0020,0.0430
record,-0.0034,0.0638,0.0004,0.0490,0.0871,0.0092,0.0282,-0.0143,0.0105,0.0562,-0.0222,0.0751,0.0390,0.0681
fibula,0.0417,-0.0235,-0.0164,-0.0070,-0.0141,-0.0128,0.0312,-0.0358,-0.0018,-0.0172,-0.0068,0.0002,-0.0006,0.0233
constantinople,-0.0044,-0.0744,0.0091,-0.0243,-0.0408,-0.0426,-0.0075,0.0035,0.0122,-0.0046,0.0086,-0.0620,-0.0073,-0.0582
340,-0.0623,-0.0151,0.0438,-0.0393,0.0174,-0.0115,-0.0024,-0.0134,-0.0514,-0.0320,-0.0375,-0.0122,-0.0117,-0.0064
published,-0.0034,0.0638,0.0004,0.0490,0.0871,0.0092,0.0282,-0.0143,0.0105,0.0562,-0.0222,0.0751,0.0390,0.0681
east,0.0204,-0.0068,-0.0370,-0.0109,-0.0485,-0.0618,-0.0301,-0.0256,-0.0179,-0.0022,0.0060,-0.0438,-0.0334,-0.0172
second,-0.0109,-0.0105,0.0109,0.0115,0.0258,-0.0580,-0.0136,0.0694,0.0107,-0.0235,-0.0181,-0.0463,0.0086,-0.0216
theatre,-0.0162,0.0060,0.0111,0.0573,0.0063,0.0645,-0.0036,0.0790,0.0396,0.1045,0.0889,0.0483,0.0302,-0.0292
umbo,-0.0855,0.0095,0.0864,-0.0717,-0.0171,-0.0150,-0.0590,-0.0356,0.0305,0.0137,-0.0432,-0.0091,-0.0504,0.0003
corsica,-0.0497,-0.0538,0.0492,-0.0430,-0.0145,-0.0386,-0.0208,-0.0262,0.0238,0.0059,0.0086,-0.0724,-0.0781,-0.0774
sardinia,-0.0497,-0.0538,0.0492,-0.0430,-0.0145,-0.0386,-0.0208,-0.0262,0.0238,0.0059,0.0086,-0.0724,-0.0781,-0.0774
colobium,0.0493,-0.0456,0.0070,-0.0638,-0.0701,-0.1118,-0.0213,-0.0156,-0.0461,0.0229,-0.0228,-0.1290,-0.0190,-0.0148
germany,-0.0261,0.0005,0.0169,-0.0209,0.0316,0.0054,0.0091,-0.0282,-0.0409,-0.0316,-0.0290,0.0063,-0.0115,0.0165
gaul,-0.0261,0.0005,0.0169,-0.0209,0.0316,0.0054,0.0091,-0.0282,-0.0409,-0.0316,-0.0290,0.0063,-0.0115,0.0165
425,-0.0176,-0.1182,0.0328,-0.0083,-0.0142,-0.0001,0.0379,-0.0035,-0.0003,-0.0291,0.0028,-0.0534,-0.0338,-0.0902
310,-0.0353,-0.0251,0.0776,-0.0457,0.0236,0.0208,-0.0585,-0.0192,0.1367,0.0951,0.0484,-0.0295,-0.0688,-0.0413
re-worked,0.0061,0.0999,-0.0556,0.0530,0.0694,0.1185,0.0708,-0.0193,-0.0098,0.0076,0.0090,0.1264,0.0477,0.0990
possibly,0.0966,0.0524,-0.1057,0.0810,-0.0052,-0.0054,0.0251,0.0820,-0.0327,-0.0250,0.0442,0.0423,0.0794,0.0670
260,-0.0166,-0.0360,0.0561,-0.0258,0.0025,-0.1369,-0.0068,-0.0223,0.0257,0.0108,-0.0401,-0.0482,0.0202,-0.0311
western,0.0102,-0.0443,0.0062,-0.0072,-0.0286,0.0118,0.0357,-0.0116,0.0065,-0.0017,0.0152,0.0104,0.0082,-0.0210
tripolitania,-0.0150,0.0887,-0.0285,-0.0209,0.0068,0.0285,-0.0238,-0.0527,-0.0378,-0.0491,-0.0595,0.0417,-0.0294,0.0661
belt,0.0328,0.0126,-0.0106,0.0059,-0.0276,-0.0216,-0.0447,0.0266,0.0328,0.0241,-0.0066,-0.0185,-0.0198,0.0217
eastern,-0.0150,0.0887,-0.0285,-0.0209,0.0068,0.0285,-0.0238,-0.0527,-0.0378,-0.0491,-0.0595,0.0417,-0.0294,0.0661
cyrenaica,-0.0150,0.0887,-0.0285,-0.0209,0.0068,0.0285,-0.0238,-0.0527,-0.0378,-0.0491,-0.0595,0.0417,-0.0294,0.0661
provincial,-0.0342,0.0105,0.0562,-0.0557,-0.0318,-0.0145,-0.0460,-0.0252,0.0727,0.0926,0.0066,-0.0290,-0.0723,-0.0488
bronze,0.0247,-0.0410,0.0260,-0.0272,-0.0153,0.0235,-0.0138,-0.0999,0.0448,0.0585,0.0977,-0.0306,-0.0780,-0.0169
250,-0.0043,0.0179,-0.0173,0.0129,0.0157,0.0731,0.0373,0.0195,-0.0080,-0.0392,0.0049,0.0459,-0.0220,-0.0044
pamphylia,0.0563,-0.0010,-0.0052,0.0122,0.0085,-0.0049,0.0252,0.0074,0.0158,0.0050,0.0117,0.0134,0.0146,0.0088
base,-0.0322,-0.0487,0.0907,-0.0934,-0.0270,-0.0902,-0.0702,-0.0041,0.0948,0.1013,-0.0330,-0.1379,-0.0948,-0.1018
315,-0.0606,-0.0012,-0.0015,0.0072,0.0440,-0.0803,-0.0135,0.0529,-0.0560,-0.0606,-0.0462,-0.0324,0.0174,-0.0054
jewelled,0.0563,-0.0838,-0.0315,-0.0019,-0.0474,-0.0853,0.0049,-0.0050,-0.0120,-0.0357,-0.0023,-0.0906,0.0222,-0.0853
villa,-0.0371,-0.0642,0.0606,-0.0594,-0.0135,0.0146,-0.0173,-0.0711,-0.0064,0.0349,0.0501,-0.0232,-0.0335,-0.0448
west,-0.0535,0.0622,0.0344,-0.0466,0.0228,0.0444,-0.0293,-0.0425,0.0006,0.0396,0.0010,0.0188,-0.0946,0.0173
modern,-0.0143,-0.0069,-0.0377,0.0617,-0.0317,0.0123,0.0096,0.0511,-0.0591,-0.0830,-0.0565,0.0192,0.0752,0.0247
brow,0.0846,0.0131,-0.0986,-0.0000,-0.0267,-0.0311,-0.0130,-0.0106,-0.0382,0.0260,0.0636,-0.0102,0.0540,0.0024
campania,0.0513,0.0505,-0.0760,0.0162,0.0077,0.0625,0.0735,-0.0377,-0.0538,-0.0349,-0.0215,0.0543,0.0180,0.0505
veiled,0.0341,-0.0489,0.0308,-0.0638,-0.0312,-0.0602,-0.0425,-0.0627,0.0036,0.0332,0.0795,-0.0906,-0.0446,-0.0455
sandals,-0.0420,-0.0342,0.0388,-0.0442,-0.0235,-0.0498,-0.0320,-0.0037,-0.0008,0.0314,0.0644,-0.0322,0.0192,-0.0136
colossal,-0.0947,0.0455,0.0272,0.0182,0.0493,0.0305,0.0004,0.0199,0.0372,-0.0116,-0.0245,0.0337,-0.0245,0.0287
area,-0.0568,0.0190,0.0296,-0.0037,0.0158,0.0252,-0.0161,-0.0008,0.0150,0.0027,0.0037,0.0168,0.0322,0.0252
egypt,-0.0144,-0.1073,0.1175,-0.0776,-0.1153,-0.0294,-0.0631,-0.0467,0.0913,0.0183,0.0505,-0.0843,-0.1066,-0.0365
cities,-0.0381,0.0056,0.0696,-0.0752,-0.0522,-0.0086,-0.0766,-0.0381,0.0637,0.1096,0.0050,-0.0395,-0.0920,-0.0522
byzacena,0.0042,-0.0697,-0.0007,0.0152,-0.0077,0.0105,0.0716,0.0152,0.0290,-0.0162,0.0220,-0.0000,0.0235,-0.0338
westwards,0.0042,-0.0697,-0.0007,0.0152,-0.0077,0.0105,0.0716,0.0152,0.0290,-0.0162,0.0220,-0.0000,0.0235,-0.0338
institutions,-0.0381,0.0056,0.0696,-0.0752,-0.0522,-0.0086,-0.0766,-0.0381,0.0637,0.1096,0.0050,-0.0395,-0.0920,-0.0522
acquired,0.0070,0.0039,-0.0251,0.0148,-0.0190,-0.0213,-0.0180,0.0418,-0.0681,-0.0515,-0.0167,-0.0255,0.0235,0.0011
officials,-0.0381,0.0056,0.0696,-0.0752,-0.0522,-0.0086,-0.0766,-0.0381,0.0637,0.1096,0.0050,-0.0395,-0.0920,-0.0522
550,0.0637,-0.0204,0.0257,-0.1000,-0.0783,-0.1058,-0.0834,-0.0307,-0.0211,0.0337,-0.0805,-0.1433,-0.0851,-0.0548
